,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,Other,Total
Dec-2015,350330,231930,176140,27090,94760,9240,4060,7750,10,901320
Jan-2016,245020,162400,123610,16530,55790,5550,3590,5180,0,617670
Feb-2016,316290,209120,148240,22590,81070,7610,4700,8980,0,798610
Mar-2016,298660,187650,153120,21540,78120,5400,5270,7590,0,757350
Apr-2016,235320,146960,131910,15610,63200,3500,8270,5720,0,610500
May-2016,204520,132470,122980,12290,56600,2830,5530,4050,0,541280
Jun-2016,199940,134940,136350,12420,57630,3160,6120,4510,0,555070
Jul-2016,248040,168990,184900,19640,67730,4160,13540,8790,0,715780
Aug-2016,233070,147170,161530,14390,59170,3120,9470,4210,0,632140
Sep-2016,231420,145180,163710,16830,72190,3310,8440,5950,20,647040
Oct-2016,249410,169770,169250,17820,71470,4220,7200,6770,10,695920
Nov-2016,280130,181350,145220,18310,77780,6900,5440,6690,10,721830
Dec-2016,377470,254120,185360,29220,103400,10760,5960,9810,50,976150
Jan-2017,297840,190760,133540,20230,63790,7090,4080,6620,20,723990
Feb-2017,313880,206910,141680,25050,75650,7440,6620,10340,0,787580
Mar-2017,305540,194860,152560,22410,78240,6020,5670,6860,70,772230
Apr-2017,275910,171090,144470,17440,71030,4700,8150,7170,50,700010
May-2017,222860,140710,128360,13020,58990,3450,7280,4390,10,579090
Jun-2017,221400,148840,139920,14080,61400,3890,9840,6610,30,606010
Jul-2017,269510,173800,194860,20690,61460,5430,10020,10620,20,746410
Aug-2017,257000,170040,172140,17850,64730,4700,8960,7430,50,702900
Sep-2017,247690,151830,158140,20550,64720,4920,8250,7460,20,663590
Oct-2017,279160,177210,171110,20190,71830,6330,8190,7330,10,741360
Nov-2017,302790,195260,154570,23240,77960,8560,6520,8170,40,777090
Dec-2017,389480,263240,196800,32460,103960,13740,4790,10530,40,1015040
Jan-2018,270170,190960,139380,21910,59810,7810,4200,8260,80,702580
Feb-2018,360980,243500,168500,29330,82050,12290,4250,13630,0,914530
Mar-2018,343770,222700,173800,25160,83580,9300,5280,8700,50,872350
Apr-2018,258380,173780,144960,20240,60040,6160,6370,9820,20,679780
May-2018,229400,153190,135660,15130,58350,4400,5520,7790,0,609450
Jun-2018,229540,164970,156160,14880,62410,4690,6490,7470,40,646650
Jul-2018,271210,191350,206470,20190,58770,5350,8860,12070,100,774360
Aug-2018,264220,183120,191630,18310,65920,3790,8190,6490,50,741710
Sep-2018,251580,167310,169090,18620,64560,4800,7010,7200,20,690190
Oct-2018,283930,190240,169300,20490,70660,6290,5050,7980,10,753960
Nov-2018,306210,215210,153530,24480,78830,9150,5560,9120,90,802160
Dec-2018,403740,282610,204530,31490,104110,14550,5540,11230,90,1057900
Jan-2019,282660,205580,141460,22480,58910,8540,3420,8030,50,731130
Feb-2019,357420,259060,165280,30240,82460,13270,5110,14420,0,927240
Mar-2019,314010,234430,166420,24700,74810,8730,4920,8280,50,836350
Apr-2019,267170,180000,148810,20480,62860,6540,7250,7220,30,700370
May-2019,251990,176510,144290,17540,61100,4640,6060,6140,10,668280
Jun-2019,235050,170790,156510,16450,62950,4540,7070,6960,10,660340
Jul-2019,268050,201930,206910,21950,65260,5670,9460,11130,10,790380
Aug-2019,282800,196970,194200,19450,72990,5950,8820,8000,10,789200
Sep-2019,251730,168980,160010,22780,69390,5130,8450,8460,30,694960
Oct-2019,285200,195580,169720,23440,77630,6830,7460,8110,40,774020
Nov-2019,298050,220340,166020,23320,83910,10320,4370,9520,50,815910
Dec-2019,388710,299560,212050,33300,111800,14900,4480,12920,10,1077720
Jan-2020,280350,218240,148730,24430,73320,10450,4010,7020,40,766590
Feb-2020,252660,181500,131350,22070,74980,9370,4390,9080,10,685410
Mar-2020,114510,97620,62110,11410,35490,4310,1670,4700,70,331890
Apr-2020,720,480,640,70,250,10,10,60,0,2250
May-2020,1420,770,640,100,370,20,60,60,0,3440
Jun-2020,1920,1140,1320,90,510,10,290,120,0,5400
Jul-2020,1570,310,920,100,460,30,30,80,20,3530
Aug-2020,1600,220,600,50,460,10,30,60,0,3030
Sep-2020,1880,330,730,100,300,20,270,90,0,3720
Oct-2020,3440,640,990,180,640,50,40,80,0,6070
Nov-2020,4520,740,1130,290,670,50,50,110,0,7570
